S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,Deadline for Idea Submission
53,DRDO,Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception,Software,SIH26053,0/500,Smart Vehicles,20 September 2026
54,DRDO,"AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs.",Software,SIH26054,0/500,Robotics and Drones,20 September 2026
55,DRDO,Smart Scan strategy for Electronic Warfare,Software,SIH26055,0/500,Robotics and Drones,20 September 2026
56,MoSPI,Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).,Software,SIH26056,0/500,Smart Automation,20 September 2026
57,Ministry of Earth Sciences (MoES),AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery,Software,SIH26057,0/500,Disaster Management,20 September 2026
58,Ministry of Earth Sciences (MoES),"Development of a Low-Power, Real-Time Adaptive Software-Defined Sonar Transmitter Payload for Autonomous Underwater Vehicles (AUVs)",Hardware,SIH26058,0/500,Robotics and Drones,20 September 2026
59,Ministry of Earth Sciences (MoES),"AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System",Software,SIH26059,0/500,Transportation & Logistics,20 September 2026
60,Ministry of Earth Sciences (MoES),Digital Platform for efficient remote management of Indian Antarctic Research Stations,Software,SIH26060,0/500,Smart Automation,20 September 2026
61,Ministry of Earth Sciences (MoES),AI-Driven Smart Energy Management System for Polar Research Stations,Software,SIH26061,0/500,Clean & Green Technology,20 September 2026
62,Ministry of Earth Sciences (MoES),Integrated Polar Expedition Logistics and Asset Management System,Software,SIH26062,0/500,Smart Automation,20 September 2026
63,Ministry of Earth Sciences (MoES),"Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal",Software,SIH26063,0/500,Smart Education,20 September 2026
64,Ministry of Earth Sciences (MoES),Low-Cost Deployable Seafloor Metal Detection Sensor for Ocean Resource Exploration,Hardware,SIH26064,0/500,Robotics and Drones,20 September 2026
65,Ministry of Earth Sciences (MoES),Autonomous Low-Cost Ocean Observation Platform for Polar and Southern Oceans,Hardware,SIH26065,0/500,Robotics and Drones,20 September 2026
66,Ministry of Earth Sciences (MoES),OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.,Software,SIH26066,0/500,Disaster Management,20 September 2026
67,Ministry of Earth Sciences (MoES),Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.,Software,SIH26067,0/500,Disaster Management,20 September 2026
68,Ministry of Earth Sciences (MoES),"WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information",Software,SIH26068,0/500,Disaster Management,20 September 2026
69,Ministry of Earth Sciences (MoES),National Weather Big Data Analytics Platform,Software,SIH26069,0/500,Disaster Management,20 September 2026
70,Ministry of Earth Sciences (MoES),"To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data.",Software,SIH26070,0/500,Disaster Management,20 September 2026
71,Ministry of Earth Sciences (MoES),"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.",Software,SIH26071,0/500,Disaster Management,20 September 2026
72,Ministry of Earth Sciences (MoES),"AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.",Software,SIH26072,0/500,Disaster Management,20 September 2026
73,Ministry of Earth Sciences (MoES),AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS),Software,SIH26073,0/500,Disaster Management,20 September 2026
74,Ministry of Earth Sciences (MoES),Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.,Software,SIH26074,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
75,Ministry of Earth Sciences (MoES),"Participants are invited to design and develop \*\*CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal\*\* to support organizational training, competency development, and knowledge sharing through a centralized web-based platform.",Software,SIH26075,0/500,Smart Education,20 September 2026
76,Ministry of Earth Sciences (MoES),Development of personalized homepage for 'Mausam' mobile application:,Software,SIH26076,0/500,Smart Automation,20 September 2026
77,Ministry of Earth Sciences (MoES),AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting,Software,SIH26077,0/500,Disaster Management,20 September 2026
78,Ministry of Earth Sciences (MoES),AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts,Software,SIH26078,0/500,Smart Automation,20 September 2026
79,Ministry of Earth Sciences (MoES),AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts,Software,SIH26079,0/500,Smart Automation,20 September 2026
80,Ministry of Earth Sciences (MoES),Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts,Software,SIH26080,0/500,Smart Automation,20 September 2026
81,Ministry of Earth Sciences (MoES),Hybrid AI–NWP Multi-Model Forecast Blending System,Software,SIH26081,0/500,Disaster Management,20 September 2026
82,Ministry of Earth Sciences (MoES),Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus),Software,SIH26082,0/500,Clean & Green Technology,20 September 2026
83,Ministry of Earth Sciences (MoES),Extreme Heatwave Early Warning and Human Thermal Stress Index,Software,SIH26083,0/500,Disaster Management,20 September 2026
84,Ministry of Earth Sciences (MoES),"Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)",Software,SIH26084,0/500,Disaster Management,20 September 2026
85,Ministry of Earth Sciences (MoES),Urban Flood Nowcasting System (Drainage and Rainfall Coupling),Software,SIH26085,0/500,Disaster Management,20 September 2026
86,Ministry of Earth Sciences (MoES),Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale),Software,SIH26086,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
87,Ministry of Cooperation,"AI & LMS - Enabled Cooperative Capacity Building, ERP & Employment Ecosystem",Hardware,SIH26087,0/500,Smart Education,20 September 2026
88,Ministry of Cooperation,Multilingual Cooperative Governance & Legal Assistance Chatbot,Hardware,SIH26088,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
89,Ministry of Cooperation,Cooperative Gig Services Platform for Household & Community Services,Software,SIH26089,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
90,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans,Software,SIH26090,0/500,Heritage & Culture,20 September 2026
91,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs,Software,SIH26091,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
92,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven Scheme Matching for Marginalized Entrepreneurs,Software,SIH26092,0/500,Smart Automation,20 September 2026
93,Ministry of Social Justice and Empowerment (MoSJE),AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal,Software,SIH26093,0/500,MedTech / BioTech / HealthTech,20 September 2026
94,Ministry of Social Justice and Empowerment (MoSJE),AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities,Software,SIH26094,0/500,MedTech / BioTech / HealthTech,20 September 2026
95,Ministry of Social Justice and Empowerment (MoSJE),Smart Real-Time Monitoring & Inspection Mobile App,Software,SIH26095,0/500,Smart Automation,20 September 2026
96,Ministry of Social Justice and Empowerment (MoSJE),"Digital Heritage Archive for Memorials, Manuscripts & Ambedkar: AI-Powered Institutional Archive and Audio-Visual Knowledge Platform",Hardware,SIH26096,0/500,Smart Education,20 September 2026
97,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY,Software,SIH26097,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
98,Ministry of Defence (MoD),Development of a Low-Cost Precision Guidance and Smart Electronic Fuze System for a 155 mm Artillery Shell,Hardware,SIH26098,0/500,Smart Vehicles,20 September 2026
99,Ministry of Petroleum & Natural Gas,AI-Driven Standardization and Harmonization of Material Codes Across CPSEs,Software,SIH26099,0/500,Smart Automation,20 September 2026
100,Ministry of Petroleum & Natural Gas,AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement,Software,SIH26100,0/500,Smart Automation,20 September 2026
101,MoSPI,"Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.",Software,SIH26101,0/500,Smart Education,20 September 2026
102,MoSPI,"Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.",Software,SIH26102,0/500,Smart Automation,20 September 2026
103,MoSPI,Use case on web-based integrated project-monitoring platform,Software,SIH26103,0/500,Smart Automation,20 September 2026
104,All India Council for Technical Education (Cyber Security Cell),AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks,Software,SIH26104,0/500,Blockchain & Cybersecurity,20 September 2026
105,All India Council for Technical Education (Cyber Security Cell),AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform,Software,SIH26105,0/500,Blockchain & Cybersecurity,20 September 2026
106,All India Council for Technical Education (Cyber Security Cell),"AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform",Software,SIH26106,0/500,Blockchain & Cybersecurity,20 September 2026
107,"Ministry of Consumer Affairs, Food & Public Distribution",Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers,Software,SIH26107,0/500,Smart Automation,20 September 2026
108,"Ministry of Consumer Affairs, Food & Public Distribution",AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications,Software,SIH26108,0/500,Smart Automation,20 September 2026
109,"Ministry of Fisheries, Animal Husbandry & Dairying",Al-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in lndian Dairy Farms,Hardware,SIH26109,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
110,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Low-Cost Light-weight Milk Chilling Can for Small-Scale Dairy Farmers,Hardware,SIH26110,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
111,"Ministry of Fisheries, Animal Husbandry & Dairying",Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers,Software,SIH26111,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
112,Autodesk,Design and Develop a Modular Autonomous Mobile Robot (AMR) Platform for Smart Warehouse Automation,Hardware,SIH26112,0/500,Robotics and Drones,20 September 2026
113,Autodesk,"Human augmentation technologies are transforming healthcare,rehabilitation, industrial ergonomics, assistive living, sports, and personal mobility by improving human capabilities and enhancing quality of life.",Hardware,SIH26113,0/500,MedTech / BioTech / HealthTech,20 September 2026
114,Autodesk,Smart City Site Planning using Autodesk Forma Site Design,Software,SIH26114,0/500,Miscellaneous,20 September 2026
115,Autodesk,Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System,Software,SIH26115,0/500,MedTech / BioTech / HealthTech,20 September 2026
116,Autodesk,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units).",Software,SIH26116,0/500,Miscellaneous,20 September 2026
117,Mangalore Refinery and Petrochemicals Limited (MRPL),Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work,Software,SIH26117,0/500,Smart Automation,20 September 2026
118,Mangalore Refinery and Petrochemicals Limited (MRPL),Passive Colorimetric H2S Exposure-Dosimeter Wristband with AI-Based Quantitative Reading,Hardware,SIH26118,0/500,Smart Automation,20 September 2026
119,Mangalore Refinery and Petrochemicals Limited (MRPL),Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX),Software,SIH26119,0/500,Smart Automation,20 September 2026
120,Oil India Limited,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.,Software,SIH26120,0/500,Smart Automation,20 September 2026
121,Oil India Limited,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations,Software,SIH26121,0/500,Smart Automation,20 September 2026
122,Oil India Limited,Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge),Software,SIH26122,0/500,Smart Automation,20 September 2026
123,Bharat Electronics Limited,Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses,Software,SIH26123,0/500,Smart Automation,20 September 2026
124,Bharat Electronics Limited,AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet,Software,SIH26124,0/500,Smart Automation,20 September 2026
125,Bharat Electronics Limited,"Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management",Software,SIH26125,0/500,Blockchain & Cybersecurity,20 September 2026
126,Bharat Electronics Limited,Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment,Software,SIH26126,0/500,Smart Automation,20 September 2026
127,Bharat Electronics Limited,City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics,Software,SIH26127,0/500,Smart Automation,20 September 2026
128,Government Of Maharashtra,"Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues",Software,SIH26128,0/500,MedTech / BioTech / HealthTech,20 September 2026
129,Government Of Maharashtra,"System integration and interoperability among government digital platforms,resulting in fragmented service delivery",Software,SIH26129,0/500,Miscellaneous,20 September 2026
130,Government Of Maharashtra,"Efficiency in streamlining industrial approvals,compliance processes,and access to government support services",Software,SIH26130,0/500,Miscellaneous,20 September 2026
131,Government Of Maharashtra,Early detection and management of crop diseases and pest infestations,Software,SIH26131,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
132,Government Of Maharashtra,Strengthening market linkages and price discovery for farmers,Software,SIH26132,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
133,Government Of Maharashtra,"Accessibility and quality of public healthcare services,particularly in rural and underserved areas",Software,SIH26133,0/500,MedTech / BioTech / HealthTech,20 September 2026
134,Government Of Maharashtra,Challenges in aligning skill development programs with industry requirements and emerging job market demands,Software,SIH26134,0/500,Miscellaneous,20 September 2026
135,Government Of Maharashtra,"Difficulties in tracking employment outcomes,skill gaps, and the impact of skilling initiatives",Software,SIH26135,0/500,Miscellaneous,20 September 2026
136,Government Of Maharashtra,"Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups",Software,SIH26136,0/500,Miscellaneous,20 September 2026
137,Egreen Quanta,Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization,Software,SIH26137,0/500,Transportation & Logistics,20 September 2026
138,Egreen Quanta,Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization,Software,SIH26138,0/500,Clean & Green Technology,20 September 2026
139,Egreen Quanta,Hybrid Quantum Machine Learning Platform for Early Disease Detection,Software,SIH26139,0/500,MedTech / BioTech / HealthTech,20 September 2026
140,Egreen Quanta,AI-Based Interactive Quantum Algorithm Learning Platform,Software,SIH26140,0/500,Smart Education,20 September 2026
141,Egreen Quanta,Quantum-Inspired Cyber Threat Detection for Digital Signature Security,Software,SIH26141,0/500,Blockchain & Cybersecurity,20 September 2026
142,National Technical Research Organisation (NTRO),Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries,Software,SIH26142,0/500,Space Technology,20 September 2026
143,National Technical Research Organisation (NTRO),Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.,Software,SIH26143,0/500,Disaster Management,20 September 2026
144,National Technical Research Organisation (NTRO),Design & Development of a High-Sensitivity Micro barometer Infrasound sensor,Hardware,SIH26144,0/500,Smart Automation,20 September 2026
145,National Technical Research Organisation (NTRO),AI-Based Detection of Cyber Threats in Unidirectional IP Traffic,Software,SIH26145,0/500,Blockchain & Cybersecurity,20 September 2026
146,National Technical Research Organisation (NTRO),AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic,Software,SIH26146,0/500,Blockchain & Cybersecurity,20 September 2026
147,National Technical Research Organisation (NTRO),Automated model for analysis of .IQ and .wav files along with signal parameter extraction,Software,SIH26147,0/500,Space Technology,20 September 2026
148,National Technical Research Organisation (NTRO),Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions,Software,SIH26148,0/500,Blockchain & Cybersecurity,20 September 2026
149,National Technical Research Organisation (NTRO),Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization,Software,SIH26149,0/500,Blockchain & Cybersecurity,20 September 2026
150,National Technical Research Organisation (NTRO),"Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence.",Software,SIH26150,0/500,Blockchain & Cybersecurity,20 September 2026
151,National Technical Research Organisation (NTRO),Dark web threat actor de-anonymization,Software,SIH26151,0/500,Blockchain & Cybersecurity,20 September 2026
152,National Technical Research Organisation (NTRO),Social Media Analytics,Software,SIH26152,0/500,Blockchain & Cybersecurity,20 September 2026
153,National Technical Research Organisation (NTRO),AI based Network Attack Forecasting from Network Traffic Data,Software,SIH26153,0/500,Blockchain & Cybersecurity,20 September 2026
154,National Technical Research Organisation (NTRO),Gen AI Platform for Automated Content Transformation,Software,SIH26154,0/500,Blockchain & Cybersecurity,20 September 2026
155,National Technical Research Organisation (NTRO),AI-Driven Multi-Vendor Network Security Compliance Auditor,Software,SIH26155,0/500,Blockchain & Cybersecurity,20 September 2026
156,National Technical Research Organisation (NTRO),Universal Log Pre-processing Framework,Software,SIH26156,0/500,Blockchain & Cybersecurity,20 September 2026
